t_wall_s,step,obs_id,x_m,y_m,vx_mps,vy_mps,speed_mps,course_deg,radius_m
7.730,70,2,580.700,123.400,0.100,6.200,6.201,89.076,16.000
7.730,70,3,499.300,879.400,-0.100,-5.800,5.801,269.012,16.000
7.831,71,0,121.180,200.710,5.800,0.100,5.801,0.988,16.000
7.831,71,1,910.180,269.290,-4.200,-0.100,4.201,181.364,14.000
7.831,71,2,580.710,124.020,0.100,6.200,6.201,89.076,16.000
7.831,71,3,499.290,878.820,-0.100,-5.800,5.801,269.012,16.000
7.932,72,0,121.760,200.720,5.800,0.100,5.801,0.988,16.000
7.932,72,1,909.760,269.280,-4.200,-0.100,4.201,181.364,14.000
7.932,72,2,580.720,124.640,0.100,6.200,6.201,89.076,16.000
7.932,72,3,499.280,878.240,-0.100,-5.800,5.801,269.012,16.000
8.032,73,0,122.340,200.730,5.800,0.100,5.801,0.988,16.000
8.032,73,1,909.340,269.270,-4.200,-0.100,4.201,181.364,14.000
8.032,73,2,580.730,125.260,0.100,6.200,6.201,89.076,16.000
8.032,73,3,499.270,877.660,-0.100,-5.800,5.801,269.012,16.000
8.133,74,0,122.920,200.740,5.800,0.100,5.801,0.988,16.000
8.133,74,1,908.920,269.260,-4.200,-0.100,4.201,181.364,14.000
8.133,74,2,580.740,125.880,0.100,6.200,6.201,89.076,16.000
8.133,74,3,499.260,877.080,-0.100,-5.800,5.801,269.012,16.000
8.233,75,0,123.500,200.750,5.800,0.100,5.801,0.988,16.000
8.233,75,1,908.500,269.250,-4.200,-0.100,4.201,181.364,14.000
8.233,75,2,580.750,126.500,0.100,6.200,6.201,89.076,16.000
8.233,75,3,499.250,876.500,-0.100,-5.800,5.801,269.012,16.000
8.335,76,0,124.080,200.760,5.800,0.100,5.801,0.988,16.000
8.335,76,1,908.080,269.240,-4.200,-0.100,4.201,181.364,14.000
8.335,76,2,580.760,127.120,0.100,6.200,6.201,89.076,16.000
8.335,76,3,499.240,875.920,-0.100,-5.800,5.801,269.012,16.000
8.435,77,0,124.660,200.770,5.800,0.100,5.801,0.988,16.000
8.435,77,1,907.660,269.230,-4.200,-0.100,4.201,181.364,14.000
8.435,77,2,580.770,127.740,0.100,6.200,6.201,89.076,16.000
8.435,77,3,499.230,875.340,-0.100,-5.800,5.801,269.012,16.000
8.536,78,0,125.240,200.780,5.800,0.100,5.801,0.988,16.000
8.536,78,1,907.240,269.220,-4.200,-0.100,4.201,181.364,14.000
8.536,78,2,580.780,128.360,0.100,6.200,6.201,89.076,16.000
8.536,78,3,499.220,874.760,-0.100,-5.800,5.801,269.012,16.000
8.636,79,0,125.820,200.790,5.800,0.100,5.801,0.988,16.000
8.636,79,1,906.820,269.210,-4.200,-0.100,4.201,181.364,14.000
8.636,79,2,580.790,128.980,0.100,6.200,6.201,89.076,16.000
8.636,79,3,499.210,874.180,-0.100,-5.800,5.801,269.012,16.000
8.736,80,0,126.400,200.800,5.800,0.100,5.801,0.988,16.000
8.736,80,1,906.400,269.200,-4.200,-0.100,4.201,181.364,14.000
8.736,80,2,580.800,129.600,0.100,6.200,6.201,89.076,16.000
8.736,80,3,499.200,873.600,-0.100,-5.800,5.801,269.012,16.000
8.837,81,0,126.980,200.810,5.800,0.100,5.801,0.988,16.000
8.837,81,1,905.980,269.190,-4.200,-0.100,4.201,181.364,14.000
8.837,81,2,580.810,130.220,0.100,6.200,6.201,89.076,16.000
8.837,81,3,499.190,873.020,-0.100,-5.800,5.801,269.012,16.000
8.938,82,0,127.560,200.820,5.800,0.100,5.801,0.988,16.000
8.938,82,1,905.560,269.180,-4.200,-0.100,4.201,181.364,14.000
8.938,82,2,580.820,130.840,0.100,6.200,6.201,89.076,16.000
8.938,82,3,499.180,872.440,-0.100,-5.800,5.801,269.012,16.000
9.038,83,0,128.140,200.830,5.800,0.100,5.801,0.988,16.000
9.038,83,1,905.140,269.170,-4.200,-0.100,4.201,181.364,14.000
9.038,83,2,580.830,131.460,0.100,6.200,6.201,89.076,16.000
9.038,83,3,499.170,871.860,-0.100,-5.800,5.801,269.012,16.000
9.139,84,0,128.720,200.840,5.800,0.100,5.801,0.988,16.000
9.139,84,1,904.720,269.160,-4.200,-0.100,4.201,181.364,14.000
9.139,84,2,580.840,132.080,0.100,6.200,6.201,89.076,16.000
9.139,84,3,499.160,871.280,-0.100,-5.800,5.801,269.012,16.000
9.240,85,0,129.300,200.850,5.800,0.100,5.801,0.988,16.000
9.240,85,1,904.300,269.150,-4.200,-0.100,4.201,181.364,14.000
9.240,85,2,580.850,132.700,0.100,6.200,6.201,89.076,16.000
9.240,85,3,499.150,870.700,-0.100,-5.800,5.801,269.012,16.000
9.340,86,0,129.880,200.860,5.800,0.100,5.801,0.988,16.000
9.340,86,1,903.880,269.140,-4.200,-0.100,4.201,181.364,14.000
9.340,86,2,580.860,133.320,0.100,6.200,6.201,89.076,16.000
9.340,86,3,499.140,870.120,-0.100,-5.800,5.801,269.012,16.000
9.441,87,0,130.460,200.870,5.800,0.100,5.801,0.988,16.000
9.441,87,1,903.460,269.130,-4.200,-0.100,4.201,181.364,14.000
9.441,87,2,580.870,133.940,0.100,6.200,6.201,89.076,16.000
9.441,87,3,499.130,869.540,-0.100,-5.800,5.801,269.012,16.000
9.542,88,0,131.040,200.880,5.800,0.100,5.801,0.988,16.000
9.542,88,1,903.040,269.120,-4.200,-0.100,4.201,181.364,14.000
9.542,88,2,580.880,134.560,0.100,6.200,6.201,89.076,16.000
9.542,88,3,499.120,868.960,-0.100,-5.800,5.801,269.012,16.000
9.643,89,0,131.620,200.890,5.800,0.100,5.801,0.988,16.000
9.643,89,1,902.620,269.110,-4.200,-0.100,4.201,181.364,14.000
9.643,89,2,580.890,135.180,0.100,6.200,6.201,89.076,16.000
9.643,89,3,499.110,868.380,-0.100,-5.800,5.801,269.012,16.000
9.744,90,0,132.200,200.900,5.800,0.100,5.801,0.988,16.000
9.744,90,1,902.200,269.100,-4.200,-0.100,4.201,181.364,14.000
9.744,90,2,580.900,135.800,0.100,6.200,6.201,89.076,16.000
9.744,90,3,499.100,867.800,-0.100,-5.800,5.801,269.012,16.000
9.845,91,0,132.780,200.910,5.800,0.100,5.801,0.988,16.000
9.845,91,1,901.780,269.090,-4.200,-0.100,4.201,181.364,14.000
9.845,91,2,580.910,136.420,0.100,6.200,6.201,89.076,16.000
9.845,91,3,499.090,867.220,-0.100,-5.800,5.801,269.012,16.000
9.946,92,0,133.360,200.920,5.800,0.100,5.801,0.988,16.000
9.946,92,1,901.360,269.080,-4.200,-0.100,4.201,181.364,14.000
9.946,92,2,580.920,137.040,0.100,6.200,6.201,89.076,16.000
9.946,92,3,499.080,866.640,-0.100,-5.800,5.801,269.012,16.000
10.047,93,0,133.940,200.930,5.800,0.100,5.801,0.988,16.000
10.047,93,1,900.940,269.070,-4.200,-0.100,4.201,181.364,14.000
10.047,93,2,580.930,137.660,0.100,6.200,6.201,89.076,16.000
10.047,93,3,499.070,866.060,-0.100,-5.800,5.801,269.012,16.000
